
208,4,48,
6034,7,88,
5,,,
74,11,2748,
1959,9,35,
108,1,452,
1,,51,
257,1463,2,
3,10,,
565,36,225,
18,150,4,
755,11,166,
789,4,2,
39,2,14,
18,1,44,
4,5,35,
59,5,172,
51,,4859,
10,4965,,
,,4,
67,474,,
,,34,
849,2,91,
345,,109,
5652,6,134,
1003,12,102,
4,25,162,
1,,6,
9,1561,,
,22,,
,6,118,
1,2,5,
310,5,23,
8271,5,90,
2,3,79,
3,10,261,
1,26,,
,4,,
1,5,69,
13,41,154,
764,,758,
4,145,,
,8,6,
9,58,,
61,4,246,
3,18,,
,,,
20193,52,1095,1
6,136,,
4,7,159,
10408,3,141,
2914,30,26,
1385,10,70,
8,1,238,
19,38,627,
81,4,42,
5775,8,93,1
22,,16,
494,1,432,
1,23,105,
1,17,,
9,99,172,
,,7,
143,,4977,
348,,,
128,,4971,
,2,,
35,1448,,
31,324,,
2621,7,320,
155,1,77,
8,92,,
7,,55,
1229,36,238,
2,,11,
3,6,44,
92,2209,,
22,4999,,
13489,,37,1
