follower_count,following_columns_count,following_count,mutual_followees_count
54,395,,
3,,2,
11,325,,
7102,8,440,
2,10,,
2,10,122,
2,30,390,
21,221,,
,17,,
6,4998,,
45,19,648,
225,21,213,
7,265,,
38,414,,
48,872,,
6,1,26,
5,,1,
3,13,43,
11,312,,
10,4568,,
6,3,157,
,,1,
1,26,,
44,4936,,
49,2,60,
1,,3,
2,255,,
55,404,,
,,18,
,1,23,
4,,23,
,1,2,
,24,,
1,1,2,
2330,8,13,
3,8,121,
9003,1,24,
,,9,
,3,,
,,6,
17,788,,
13,36,292,
33,1,1351,
2,,4,
111,54,2585,
2,40,92,
3,23,,
,9,392,
,3,,
,817,,
11324,11,249,
1142,74,71,
,25,,
4,138,,
,14,,
100,399,,
406,,7,
3,442,,
1,14,,
,,,
,10,,
34,1,1,
,1,66,
17,,217,
,19,,
9,199,,
3,1,33,
3,3,83,
,,1,
16,,557,
1061,52,823,
4,72,,
,7,,
23,45,223,
10,14,149,
8,9,13,
4,9,,
,23,,
12363,131,831,
37,42,2277,
60,17,122,
3,42,324,
2,114,,
,6,110,
1,,1,
4,54,,
34,8,69,
,20,,
,16,,
,,18,
,,2,
3,3,41,
1,32,,
,5,29,
,2,,
8,2,55,
,,1,
,,24,
,171,,
,,7,
,4,,
207,1161,3,
3946,9,186,
3,43,1,
293,1,17,
5,5,48,
2,18,,
39377,3,20,
93310,18,251,
3,2,53,
3,76,1,
3,154,,
4,328,,
4,377,,
5,7,7,
4,,10,
,1,18,
,1,13,
2,46,,
1,1005,,
1937,,,
10876,24,216,
1,9,326,
2895,1,,1
3240,3,18,1
221,,1,1
208,,1,1
87930,63,100,2
,5,1,
,55,1,
1,2,1,
2898,2,70,1
63,,,1
2091,3,39,1
740,,4,1
,,1,
2442,3,36,1
1292,1,29,1
,,1,
789,,1,1
1952,3,34,
63648,1,70,1
12541,5,18,
492,,18,
506,1,15,
,,,
18661,18,224,
7,66,1,
2227,1,55,
16,1,,2
3,1,,
86529,4,340,3
73313,,90,1
,11,,
1,37,,
4,,8,
4,2,36,
1026,1,25,
2,206,,
29,18,263,
12,115,,
,,,
13,6,510,
1,,9,
,4,,
1,100,,
17,,38,
1,4,75,
,27,,
1223,52,3066,
,2,6,
,,,
1,98,,
2,42,276,
25,12,28,
6,145,,
1,,3,
120616,10,669,3
7,171,5,
323,2,21,
,,6,
,63,,
115,,4317,
8,6,1165,
14,238,,
10,79,,
48545,,,1
133,2,11,
,96,,
,,1,
1,7,,
9,14,,
,,28,
3,,5,
,72,,
,,3,
1,,35,
79,2,8,
6,,22,
1,69,,
1,30,,
4,46,,
3,,8,
26,366,,
1800,,,
7,47,,
6013,,,1
532,4,38,
3,13,,
23,50,1606,
9,37,327,
678,1,8,
,19,,
197,,4962,
,13,115,
119880,23,263,2
19759,21,138,
9,15,116,
1,47,,
309,5,301,
439,48,4904,
3,78,,
340,1,14,
93,41,2131,
70,705,1,
,,11,
8,9,1005,
,3,70,
,1,18,
3,20,52,
,2,3,
,1,,
,1,26,
1,1,63,
147050,1,138,2
16,406,,
119,,2898,
16148,,25,
3,11,289,
1,433,,
6,2,2,
136,13,276,
592,1,2997,
1,30,158,
135,4,90,
2,61,,
10,3,99,
,2,,
427,13,34,
24,,4978,
,14,,
6082,49,446,
7134,8,17,
1,2,15,
,6,77,
2,312,,
176,4996,,
,12,,
,,2,
39,,4970,
3,61,,
637,10035,8,
830663,111,2482,7
,,1,
5,137,368,
9,186,,
3,1,227,
34,308,,
362,1,165,
76,833,,
11,38,483,
6,302,,
1481,,375,
1,,1,
,10,129,
70,6,29,
221,17,305,
3,4,17,
174,8,121,
,,1,
2,79,,
7,,340,
,22,,
,1,,
1,7,131,
4,500,,
1184,,2,
,2,22,
7,1,14,
,3,,
6104,,16,1
,1,,
,11,,
1,1,23,
,,31,
10,8,442,
125,732,,
,18,,
,,1,
1,5,261,
42,,4960,
46,,4968,
95,1,17,
19207,,52,
445,10,88,
9,9,54,
23,101,,
2,3514,,
1,1,51,
1,62,,
,1,,
,,27,
,,1,
428,1,50,
1450,11,180,
5,152,1,
321,34,170,
275,,14,
1,,2,
33,2,24,
9089,,4,
6540,,23,
,1,16,
,4,,
6,520,,
,4,,
9,,9,
7,31,,
,,40,
,1,35,
2,134,,
,1,26,
,1,,
,,7,
11,224,,
2,21,29,
,101,,
1751,93,3314,
,597,,
1,3,,
47251,,16,
23,207,,
1,1,71,
6,,4,
,,1,
,23,14,
,,6,
5,66,,
,11,,
2,1,209,
260,80,3355,
54,11,2032,
6,4997,,
,6,,
40439,1,36,3
3,6,217,
,,5,
1,30,,
,6,36,
,,1,
6,2,250,
,70,,
2,49,,
18,,2294,
10,1222,,
11,,739,
19,1,46,
2440,11,33,
,,7,
50,355,3206,
,13,,
,,1,
,3,9,
,13,,
,,48,
9,12,109,
82,,4934,
66,,4912,
7,157,,
23,2,128,
1,22,138,
8,13,665,
,1,,
4,36,708,
2,,3,
110,8,129,
1,15,,
33,510,,
1933,,,
2,232,558,
,1,12,
11,100,,
140,907,,
1,57,2,
293,22,107,
3,79,,
,52,,
2,69,,
5,33,52,
,6,110,
1,120,,
34,3650,,
,3,24,
,11,,
,27,,
1,2,60,
51,3,3425,
,1,,
,38,,
,2,,
1,1,45,
2,1004,,
146,93,1350,
61824,12,952,1
,,1,
34982,,1,2
95818,,91,
63173,1,15,
1331,17,198,
64,7,106,
6,11,52,
1680,14,123,1
35,4,282,
5,,10,
18559,1,5,
3,120,,
470,5,105,
2,,2,
2,50,,
4,54,,
4,,6,
105901,28,784,1
12,544,,
1,8,,
43734,,37,1
30,267,,
115413,26,104,
20,,,
9657,1,22,
13041,,15,
5,489,1,
73235,7,112,
25281,1,10,
57703,73,450,
7243,,3,
76,120,1465,
33026,13,176,1
27015,2,346,
2,,95,
1,3,,
126,,5,
1046,58,1361,
25,,1009,
62,10,87,
129,,,
19,,157,
,12,,
28,2,287,
,,,
24,10,319,
,45,,
,12,,
,12,,
34,301,,
3,7,99,
36,594,1,
4,25,,
27,13,94,
542,9,150,
5670,32,298,
29383,5,23,
19,131,1,
1537,8,56,
2,53,,
2,42,,
313619,14,248,3
32,109,,
62,2,18,
2,60,,
,37,2,
3,156,2,
120695,3,206,
33,119,,
8344,35,86,
336551,30,142,4
1,182,,
1,,2,
,1,,
34303,17,173,1
3,17,1,
80,274,,
14,,914,
5,132,,
25,17,69,
4,2,58,
3,9,23,
7,1,11,
,26,,
8794,4,160,
9567,8,168,
2,92,,
,,,
3,37,1,
1,68,,
61779,8,548,1
3,80,,
250,2,161,
,2,,
1,7,60,
43,45,3364,
5,,199,
5,,244,
,44,,
13626,95,1827,2
,10,,
126174,37,721,1
,,,
5,82,484,
13064,18,676,1
,65,2,
5,55,,
40,129,,
1967,8,20,
130,1436,5000,
115334,6,343,1
,3,,
29,,25,
3,,17,
581,,,
91572,1,14,1
8,1056,,
6,28,,
,27,,
21999,1,23,
7,638,1,
314,,2306,
235,2,2187,
80,11,3258,
230360,33,643,2
10,1,18,
103,1,5000,
,2,4,
2,,27,
2,42,,
9,136,,
19,406,,
7,88,,
2,,51,
3,54,,
2,2,22,
,,5,
4,44,,
,,,
2,4,38,
97403,2,73,1
34184,1,80,
,1,2,
2,1,12,
1,14,,
,1,,
,1410,,
2,44,,
4,44,,
19,,4,
22,16,129,
186934,9,273,1
,,24,
2,7,306,
,2177,,
26,7,14,
17,87,1,
,1,,
1,,10,
